Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist	FinalScore	MaxFinalScore	MinFinalScore
15	156.19144	43.701496	279.53018	70.28372	50.0	40.780262	23.105877	67.00492	-19.881863	360000	-1.4901161e-08	1139.8281	-0.02142577	-97.5486	0.85177344	0.0101936525	0.13444445	79.0	1501.4218182563782	0.053333335	0.10888889	0.12851468	0.16209853	0.0094246045	1.6102167	3.1413789	0.0071746707	0.51254785	0.999932	0.0022837687	0.17441413	0.27132884	0.014111786
16	162.52962	43.164795	279.35938	73.50919	50.0	41.43089	24.313742	70.71162	-30.043823	382500	-3.3527612e-09	1124.2107	-0.022686275	-95.40656	0.8438258	0.012708999	0.14453332	79.0	1595.167313337326	0.06888889	0.093333334	0.12459312	0.1620556	0.004338178	1.6330737	3.1415896	0.005872353	0.5198235	0.99999905	0.001869228	0.16974477	0.30268797	0.010497399
17	165.63077	42.465107	272.97684	77.961586	50.0	43.068966	25.947302	74.47787	-17.613459	405000	1.3411045e-08	1054.7623	-0.022865873	-99.80766	0.83933175	0.0109054	0.14231113	79.0	1698.611932516098	0.06888889	0.13111112	0.12617193	0.16111553	0.019763464	1.5618284	3.1412902	0.0069221803	0.49714538	0.9999037	0.0022033984	0.17261717	0.27941957	0.029821118
18	167.47324	44.13266	260.6716	64.24638	50.0	46.32139	27.226452	78.2144	-11.293925	427500	-2.2351742e-08	1017.75244	-0.023504492	-98.85606	0.8320034	0.010716918	0.15986666	79.0	1792.8447415828705	0.057777777	0.13333334	0.12570526	0.16045478	0.01341903	1.623798	3.140447	0.0103516895	0.5168709	0.9996353	0.003295045	0.17272216	0.32086253	0.01768637
19	171.77357	42.624195	275.6728	67.358116	50.0	46.621872	27.516148	81.78794	-12.8136835	450000	-2.682209e-08	989.6666	-0.022539487	-90.82039	0.82440585	0.012336561	0.15684445	79.0	1888.9678099155426	0.07777778	0.11111111	0.124973655	0.16795117	0.004558424	1.5405222	3.1273777	0.008400829	0.49036348	0.9954753	0.0026740667	0.17119804	0.3317976	0.007132027
20	170.55031	41.263542	281.8553	75.54256	50.0	46.449432	29.460442	85.36504	-1.1946499	472500	-1.5646219e-08	843.80096	-0.023501355	-67.305565	0.81880265	0.013306719	0.15604445	79.0	1983.3444945812225	0.064444445	0.12222222	0.124842085	0.1635946	0.00806703	1.5611615	3.1393585	0.0021021457	0.4969332	0.99928886	0.0006691338	0.17208679	0.28828734	0.011398265
21	172.24017	43.35063	281.21234	94.33706	50.0	47.41376	30.691051	88.553246	-10.071488	495000	-6.3329937e-09	864.557	-0.022559334	-75.37394	0.80954874	0.0118515	0.13733333	79.0	2084.8298556804657	0.086666666	0.10666667	0.12124559	0.16315973	0.010822677	1.6028081	3.128895	0.018133039	0.5101897	0.9959582	0.0057719257	0.16777885	0.34519804	0.016877178
22	173.51854	41.00025	281.24884	73.75945	50.0	48.723255	31.761026	91.64618	-9.640844	517500	1.5646219e-08	781.1613	-0.02282553	-75.88307	0.8031374	0.010834505	0.15395555	79.0	2180.4291083812714	0.08	0.09777778	0.12492793	0.16764338	0.003429476	1.613535	3.1393852	0.005984421	0.51360416	0.9992973	0.0019049003	0.17315464	0.32757846	0.009201317
23	174.3685	42.746326	277.1591	78.18945	50.0	48.913757	32.457455	94.52155	-10.257655	540000	8.195639e-09	738.2255	-0.023431802	-72.608955	0.7944726	0.010395343	0.15084444	79.0	2277.21431183815	0.07777778	0.09555556	0.12404497	0.16186503	0.003058393	1.6947249	3.1407363	0.028738683	0.53944767	0.9997274	0.009147807	0.17341363	0.3161431	0.005419193
24	177.1517	40.455086	271.68158	87.27757	50.0	51.205795	33.816032	97.43798	-7.1680994	562500	-2.8312206e-08	698.66895	-0.023411924	-65.40568	0.7885963	0.011427348	0.15604444	79.0	2370.716984272003	0.08888889	0.115555555	0.12280574	0.16313915	0.01110807	1.6033083	3.140467	0.007291042	0.5103489	0.99964166	0.0023208107	0.17110321	0.2958423	0.031534344
25	176.67888	40.336548	271.73724	96.037636	50.0	50.92091	34.26401	100.19371	-6.600714	585000	-1.8626451e-08	664.14386	-0.023996998	-53.52407	0.77880204	0.01205894	0.15195556	79.0	2467.102347135544	0.09555556	0.11777778	0.120237865	0.16648741	0.011367543	1.5901207	3.1406105	0.009360719	0.50615114	0.9996874	0.0029796092	0.16805549	0.3192357	0.017354215
26	176.86412	41.24052	266.84286	92.42215	50.0	51.046463	35.334465	102.78604	-5.007835	607500	-2.2351743e-09	655.6292	-0.022455838	-52.800587	0.7718441	0.011914028	0.14022222	79.0	2564.6383962631226	0.10888889	0.11111111	0.11825502	0.16129705	0.005478531	1.6197076	3.1415558	0.009544116	0.5155689	0.99998826	0.0030379866	0.16533084	0.38353077	0.009745474
27	181.05565	41.67205	282.46432	85.121956	50.0	52.1781	35.52349	105.25801	-7.097424	630000	-8.940697e-09	642.6529	-0.022281075	-58.760803	0.76541054	0.011347426	0.14248888	79.0	2661.0102248191833	0.09555556	0.09111111	0.11965059	0.1619919	0.0063260677	1.606383	3.1339707	0.009850661	0.51132756	0.9975739	0.0031355629	0.16870593	0.29270744	0.008394278
28	181.1293	41.560352	274.80466	105.35262	50.0	52.36599	36.037025	107.87785	-4.878072	652500	2.682209e-08	588.1766	-0.022863118	-48.836426	0.7588372	0.010576191	0.14968888	79.0	2761.769515991211	0.12444445	0.11777778	0.114380665	0.16416723	0.010719016	1.6362128	3.137653	0.0089175245	0.5208227	0.99874604	0.0028385362	0.16126329	0.31719553	0.025272014
29	186.42212	42.592216	286.85004	101.60785	50.0	55.76389	37.628784	110.332794	-13.448279	675000	0.0	644.07874	-0.023462575	-55.15929	0.7501763	0.012207913	0.16275556	79.0	2859.9305827617645	0.12444445	0.12	0.11350935	0.16447668	0.011120962	1.5343639	3.1329823	0.01230444	0.48840317	0.99725926	0.003916625	0.16196851	0.3008431	0.026049009
30	184.03809	42.00523	287.46484	88.955414	50.0	55.591946	37.067192	113.01087	-5.2005854	697500	-2.2351743e-09	586.4364	-0.024226317	-50.62067	0.7426807	0.011399043	0.1576	79.0	2958.5017652511597	0.13555555	0.11777778	0.11147788	0.16473979	0.0043996	1.6049552	3.1394358	0.010929904	0.51087314	0.9993134	0.0034790966	0.15986745	0.3446217	0.007935623
