Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist
17	720.4253	1050.055	3114.3035	-972.6675	600.0	104.72329	108.35054	323.19583	-53.748146	432000	-1.2417634e-08	14646.372	-0.029852137	-2421.7095	0.8698047	0.011796485	0.16683334	79.0	697.1542739868164	0.25	0.33333334	0.10477952	0.18076348	0.016354542	0.54605263	0.9715662	0.0021275014	0.54605263	0.9715662	0.0021275014
18	999.6616	874.4504	2490.316	-659.0829	600.0	126.13677	117.22993	322.14725	-129.01625	456000	4.967054e-09	10319.378	-0.031122623	-1287.4811	0.8664791	0.014057833	0.17141666	79.0	735.6719522476196	0.20833333	0.5416667	0.09904424	0.1629802	0.030625656	0.42213282	0.92081004	0.005248361	0.42213282	0.92081004	0.005248361
19	855.2632	1029.0815	2626.5105	-1106.728	600.0	112.324066	125.72581	314.9933	-124.62491	480000	7.450581e-09	11326.464	-0.031122679	-608.00214	0.8606065	0.013198058	0.18312502	79.0	773.9092617034912	0.20833333	0.41666666	0.09255701	0.17981566	0.0034058907	0.5169896	0.93288696	0.013543274	0.5169896	0.93288696	0.013543274
20	692.1453	939.7175	2198.4258	-1782.7467	600.0	139.2398	125.62582	336.4929	-128.79607	504000	1.2417635e-09	16739.361	-0.028346851	-2867.693	0.85744286	0.009955985	0.16487502	79.0	812.1915581226349	0.25	0.45833334	0.10988099	0.17948474	0.04000269	0.46881506	0.9326081	0.008598397	0.46881506	0.9326081	0.008598397
21	723.57184	918.2809	2546.2512	-712.13824	600.0	128.6431	105.710434	318.42352	-98.477455	528000	1.2417635e-09	10773.911	-0.030680189	-1655.5612	0.8562991	0.012460141	0.17062502	79.0	851.7981231212616	0.29166666	0.45833334	0.10455199	0.18088116	0.012326776	0.41892758	0.954542	0.0147749	0.41892758	0.954542	0.0147749
22	982.3675	1039.1523	2334.7058	-768.3576	600.0	129.81154	123.14833	328.03607	-116.83925	552000	-1.7384687e-08	12467.137	-0.02912316	-2345.799	0.85107356	0.009962984	0.15920834	79.0	891.1431336402893	0.375	0.5	0.0952453	0.1612428	0.010233978	0.44708315	0.9582081	0.0022092904	0.44708315	0.9582081	0.0022092904
23	911.94257	1013.20026	2921.8628	-1171.0156	600.0	153.39885	129.17384	345.53964	-69.559875	576000	2.483527e-09	8278.176	-0.02804123	-904.1486	0.8451428	0.01205752	0.16425	79.0	927.4635128974915	0.29166666	0.5	0.10341159	0.18094939	0.0209182	0.44188538	0.9324536	0.017258348	0.44188538	0.9324536	0.017258348
24	505.77505	826.1057	2745.0657	-413.00974	600.0	90.06525	122.37763	344.60934	-105.828995	600000	-7.450581e-09	9095.028	-0.03129084	-1293.7037	0.84177285	0.011214587	0.18216665	79.0	963.9534113407135	0.16666667	0.20833333	0.09421221	0.1499004	0.024150304	0.57824963	0.96197814	0.14407866	0.57824963	0.96197814	0.14407866
25	919.1719	1094.4983	2687.2734	-742.42413	600.0	138.78563	128.41032	351.9004	-71.30825	624000	1.3659398e-08	11780.173	-0.031973485	-2300.4321	0.83901554	0.013282922	0.17675	79.0	1001.5249795913696	0.375	0.45833334	0.10215346	0.18060578	0.023005484	0.523822	0.98622805	0.031038592	0.523822	0.98622805	0.031038592
26	568.9393	735.6383	2070.2322	-982.66315	600.0	103.52598	140.97868	354.7395	-119.57674	648000	-1.2417635e-09	11345.864	-0.028802956	-1975.2032	0.8362334	0.010826197	0.17445832	79.0	1038.5653808116913	0.125	0.375	0.107369505	0.1722221	0.020511212	0.50751776	0.89761716	0.02142276	0.50751776	0.89761716	0.02142276
27	375.62753	930.7246	2631.1177	-1410.3436	600.0	100.35374	110.28467	293.716	-94.86813	672000	-2.483527e-09	15185.667	-0.031048194	-2269.0	0.8327392	0.011497653	0.17329167	79.0	1075.4133956432343	0.125	0.20833333	0.11586519	0.18085216	0.030674646	0.63201755	0.99820143	0.06954915	0.63201755	0.99820143	0.06954915
28	255.49452	834.3161	1505.2103	-1332.8483	600.0	85.880905	114.25466	334.78088	-94.618385	696000	2.483527e-09	10382.349	-0.030637681	-2000.548	0.82765514	0.012969797	0.18241666	79.0	1112.4338915348053	0.041666668	0.29166666	0.11723801	0.1808729	0.033302136	0.5939991	0.97244406	0.06595399	0.5939991	0.97244406	0.06595399
29	875.9043	908.80853	2485.9421	-1121.8806	600.0	116.08496	122.56439	291.5314	-125.73456	720000	-4.967054e-09	9632.187	-0.033122413	-1879.6195	0.82520217	0.011750351	0.194125	79.0	1149.5182855129242	0.25	0.5	0.09280083	0.18063377	0.010823953	0.4705439	0.96707374	0.017214574	0.4705439	0.96707374	0.017214574
30	931.9725	998.8804	2351.0361	-970.87085	600.0	143.37126	122.29648	337.7262	-59.45411	744000	-2.483527e-09	10159.898	-0.03233587	-1822.8214	0.8209451	0.013061251	0.18758333	79.0	1186.6962361335754	0.33333334	0.45833334	0.10216409	0.17719519	0.030762356	0.45287013	0.9724509	0.019498808	0.45287013	0.9724509	0.019498808
31	613.34174	1120.644	2380.4778	-1676.82	600.0	121.39528	131.28865	320.87476	-120.63174	768000	9.934108e-09	11086.054	-0.03108205	-1552.789	0.8193616	0.011381007	0.17258334	79.0	1224.586148738861	0.25	0.375	0.096943974	0.18072855	0.0393112	0.5021287	0.9633351	0.0021217787	0.5021287	0.9633351	0.0021217787
32	658.16425	1016.2256	2458.3438	-1496.6675	600.0	120.04505	134.73021	327.62805	-131.25797	792000	-6.208817e-09	14426.886	-0.032192454	-2242.534	0.8202732	0.011214661	0.20341666	79.0	1264.0059189796448	0.16666667	0.375	0.09679005	0.18079609	0.0077608563	0.5255532	0.92647314	0.020729756	0.5255532	0.92647314	0.020729756
33	830.7837	1001.05554	2709.1357	-328.0486	600.0	126.72485	120.43105	341.03726	-95.09743	816000	-1.6142925e-08	10998.1045	-0.031990055	-1610.568	0.8136675	0.013016078	0.20579167	79.0	1301.9448733329773	0.20833333	0.41666666	0.10008216	0.15397316	0.022594957	0.54447556	0.98467	0.031721912	0.54447556	0.98467	0.031721912
34	844.8035	774.25385	2160.546	-19.71629	600.0	133.89877	121.71418	335.32346	-89.72446	840000	-1.8626451e-09	9712.712	-0.031571	-2439.3362	0.8066303	0.015008996	0.19145834	67.0	1339.9936912059784	0.29166666	0.33333334	0.08047995	0.14573972	0.012763822	0.5276844	0.9431023	0.10483056	0.5276844	0.9431023	0.10483056
35	916.9914	932.1181	2553.7424	-600.3343	600.0	126.96225	120.42775	332.14554	-72.76966	864000	-3.7252903e-09	11828.175	-0.03245068	-973.5852	0.801786	0.012732242	0.20220834	79.0	1378.0502133369446	0.25	0.375	0.09151598	0.18060182	0.023459535	0.5136681	0.98902524	0.02593086	0.5136681	0.98902524	0.02593086
36	633.8369	782.95526	2124.797	-813.68195	600.0	104.012085	112.164925	339.12845	-96.013336	888000	9.934108e-09	9253.72	-0.034093436	-1693.6621	0.7966366	0.012938503	0.202	79.0	1414.5977537631989	0.041666668	0.375	0.11457632	0.17603332	0.0178811	0.5097104	0.9885094	0.09417766	0.5097104	0.9885094	0.09417766
37	638.89624	989.87146	2702.6372	-1045.3079	600.0	102.27854	101.510056	296.20956	-66.20827	912000	1.9868216e-08	10442.247	-0.032844454	-1747.8281	0.7912267	0.014109817	0.19058335	79.0	1453.4711949825287	0.29166666	0.375	0.10266773	0.17703958	0.021390645	0.47056374	0.95925325	0.0571018	0.47056374	0.95925325	0.0571018
38	587.4539	1044.9431	2395.93	-1175.9008	600.0	84.114456	123.02304	328.8613	-126.09876	936000	1.2417635e-09	8655.296	-0.031829953	-812.00165	0.78516704	0.0135320425	0.18625002	79.0	1493.280621290207	0.375	0.29166666	0.10169812	0.18079938	0.011063732	0.5264502	0.9694096	0.08498426	0.5264502	0.9694096	0.08498426
39	946.887	955.57117	2386.69	-333.78528	600.0	111.69666	142.38661	351.1079	-135.89085	960000	2.483527e-09	9484.381	-0.03053703	-1004.19073	0.78457516	0.012467742	0.19854166	79.0	1533.5972774028778	0.20833333	0.45833334	0.09307126	0.15425916	0.027047386	0.47667345	0.9734203	0.01675493	0.47667345	0.9734203	0.01675493
